document,,,,,,,,,
PMID/PM,Publisher,Journal tit,Article titl,COST (£) charged to Wellcome (inc VAT when charged),,,,,
PMC3570213,Oxford Un,Bioinform,The produ,£1700.00,,,,,
PMCID: P,Oxford Un,Bioinform,A robust,£2040.00,,,,,
PMID: 236,Oxford Un,Bioinform,FYPO: the,£2100.00,,,,,
PMC35468,Oxford Un,Bioinform,Scaffoldin,£1700.00,,,,,
PMC34963,Oxford Un,Bioinform,GREVE: G,£850.00,,,,,
PMC 3692,Oxford Un,Brain,A Journal,£2000.00,,,,,
PMC31591,Oxford Un,Brain,The prima,£2040.00,,,,,
PMC3634199,Oxford Un,Brain,MRI evide,£2040.00,,,,,
,,,,,,,,,
PMCID: P,Oxford Un,Brain,Autologo,£2040.00,,,,,
PMCID: P,Oxford Un,Brain Onli,The functi,£1700.00,,,,,
PMID: 232,Oxford Un,Brain Onli,The Charc,£1700.00,,,,,
PMCID: P,Oxford Un,Brain Onli,Magnetoe,£2040.00,,,,,
PMCID: P,Oxford Un,Brain Onli,Social cog,£2040.00,,,,,
NA,Oxford Un,Briefings i,Regulator,£2040.00,,,,,
PMCID: P,Oxford Un,Briefings i,Epigeneti,£2100.00,,,,,
23137768,Oxford Un,British Me,Managem,£2040.00,,,,,
PMC33779,Oxford Un,Cerebral,Transgeni,£1700.00,,,,,
Epub ahe,Oxford Un,Cerebral,MEG evid,£2040.00,,,,,
Epub ahe,Oxford Un,Cerebral,Pharmaco,£999999.00,,,,,
Epub ahe,Oxford Un,Cerebral,Inter- and,£2040.00,,,,,
Epub ahe,Oxford Un,Cerebral,Spatial att,£2040.00,,,,,
PMCID: P,Oxford Un,Cerebral,Preservati,£2040.00,,,,,
23884064,Oxford Un,Clinical In,Combinat,£2625.60,,,,,
PMID: 239,Oxford Un,Database,metabolic,£960.00,,,,,
PMID: 231,Oxford Un,European,Family an,£1800.00,,,,,
PMCID:,Oxford Un,Glycobiol,Organizati,£1700.00,,,,,
    PMC3671775,,,,,,,,,
NA,Oxford Un,Health Pr,In what w,£1700.00,,,,,
PMCID: P,Oxford Un,History W,A marble,£2100.00,,,,,
PMC3613160,Oxford Un,Human M,Protein pr,£1978.75,,,,,
,,,,,,,,,
PMC32639,Oxford Un,Human M,Next gen,£2040.00,,,,,
PMC33137,Oxford Un,Human M,Impaired,£2040.00,,,,,
PMC34411,Oxford Un,Human m,G2019S le,£2040.00,,,,,
PMC3583518,Oxford Un,Human M,Mitofusin,£2040.00,,,,,
PMID: 238,Oxford Un,Human M,IGF-1 rece,£2100.00,,,,,
PMID: 239,Oxford Un,Human M,Myc inhib,£2100.00,,,,,
PMC36909,Oxford Un,Human M,DNA poly,£1700.00,,,,,
PMCID: P,Oxford Un,Human Re,The incid,£2040.00,,,,,
PMID:236,Oxford Un,Internatio,The Decti,£2040.00,,,,,
PMC35357,Oxford Un,Internatio,Data Reso,£2040.00,,,,,
PMCID: P,Oxford Un,Internatio,Use of all,£2400.00,,,,,
PMID: 237,Oxford Un,Internatio,Cohort Pr,£2400.00,,,,,
PMID:240,Oxford Un,Journal of,,£2841.60,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Persistent endothelial activation after Plasmodium falciparum infection in Malawian children.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PMCID: P,Oxford Un,Journal of Infectious Diseases,T-cell im,£2625.60,,,,,
,,,,,,,,,
PMC35366,Oxford Un,Journal of,Effect of S,£2040.00,,,,,
PMC38189,Oxford Un,Medical L,Nudging f,£2100.00,,,,,
22735079,Oxford Un,Mol Biol a,The impac,£2040.00,,,,,
PMID: 233,Oxford Un,Nephrolo,Unexpect,£2040.00,,,,,
PMCID:P,Oxford Un,Nephrolo,Conversio,£1700.00,,,,,
PMC36435,Oxford Un,Nucleic A,Restrictio,£1420.00,,,,,
3763532,Oxford Un,Nucleic A,Clusters o,£1704.00,,,,,
PMC35758,Oxford Un,Nucleic A,Space exp,£710.00,,,,,
3597655,Oxford Un,Nucleic A,"Structure,",£1704.00,,,,,
PMC37375,Oxford Un,Nucleic A,Splicing-c,£1704.00,,,,,
PMCID: 34,OXFORD,NUCLEIC,DYNAMIC,£1704.00,,,,,
PMCID: 34,OXFORD,NUCLEIC,ATPASE A,£1704.00,,,,,
PMID: 219,Oxford Un,Nucleic A,BuGSbase,£1704.00,,,,,
PMID: 239,Oxford Un,Nucleic A,Replisom,£1704.00,,,,,
PMC3531114,Oxford Un,Nucleic A,New funct,£852.00,,,,,
,,,,,,,,,
PMC3531217,Oxford Un,Nucleic A,Genome3,£852.00,,,,,
,,,,,,,,,
PMC36647,Oxford Un,Nucleic A,Functiona,£852.00,,,,,
PMID: 235,Oxford Un,Nucleic A,MBNL1 an,£852.00,,,,,
PMID:224,Oxford Un,Nucleic A,Identifica,£852.00,,,,,
NA,Oxford Un,Nucleic A,Solution C,£852.00,,,,,
PMC35263,Oxford Un,Nucleic A,DNA cate,£1420.00,,,,,
PMC35619,Oxford Un,Nucleic A,AT-rich se,£710.00,,,,,
Pending -,Oxford Un,Oxford Jo,Health Po,£1700.00,,,,,
23981980,Oxford Un,Oxford Un,Physical a,£999999.00,,,,,
PMC3601848,Oxford Un,Protein E,Evaluatin,£2040.00,,,,,
,,,,,,,,,
PMC32353,Oxford Un,QJM: An I,Hepatitis,£1700.00,,,,,
PMID2382,Oxford Un,QJM: An I,Risk facto,£2400.00,,,,,
PMID: 232,Oxford Un,Schizophr,Social dep,£2040.00,,,,,
Epub ahe,Oxford Un,Social Cog,Emotion r,£2040.00,,,,,
PMCID: P,Oxford Un,Social Hist,Children's,£2040.00,,,,,
NA,Oxford Un,Social Hist,Beyond th,£2100.00,,,,,
PMID: 231,Oxford Un,The Journ,Schistoso,£2040.00,,,,,
3381638,Oxford Un,Clinical In,Rates of P,£1700.00,,,,,
3475639,Oxford Un,J Infect Di,Genetic R,£378.78,,,,,
PMC34942,Oxford Un,Molecular,Evolution,£1450.00,,,,,
PMCID:P,Oxford Un,Cardiovas,Gap juncti,£2040.00,,,,,
PMC36748,Oxford Un,Human M,Trans-spli,£2040.00,,,,,
PMC36748,Oxford Un,Human M,ALS muta,£2040.00,,,,,
PMC36864,Oxford Un,Schizophr,Life Event,£2048.00,,,,,
PMCID:,Oxford University Press,Cardiovas,Flecainid,£1020.00,,,,,
    PMC3714924,,,,,,,,,
PMCID:,Oxford University Press,Journal of Infectious Diseases,The role of interleukinâˆ’10 family of cytokines in HIVâˆ’tuberculosis associated immune reconstitution inflammatory syndrome,£2040.00,,,,,
    PMC3583273,,,,,,,,,
PMCID:,Oxford University Press,Nucleic Acids Research,TDP1 is an HMG chromatin protein facilitating RNA polymerase I transcription in African trypanosomes,£852.00,,,,,
    PMC3597664,,,,,,,,,
PMC35751,Oxford Un,Medical L,Regulator,£2040.00,,,,,
PMC36713,Palgrave,BioSocieti,Health Ec,£1920.00,,,,,
PMC38364,Pion,Environm,Transnati,£1800.00,,,,,
PMC37443,PLOS,PLOS Com,Spike trig,£1429.13,,,,,
PMC36816,PLoS,PLoS Gen,Meiosis-s,£1494.42,,,,,
3715439,Plos,Plos Gene,Strabismu,£1761.48,,,,,
PMC34933,PLOS,PLOS NTD,Chitinase,£1283.76,,,,,
3517619,PLoS,PLoS ONE,HCN1 and,£1001.03,,,,,
3498109,PLoS,PloS One,Fetal alco,£1004.15,,,,,
3515553,PLoS,PLoS ONE,Vitamin B,£1011.45,,,,,
3522679,PLoS,PLoS ONE,Validatio,£1011.45,,,,,
3485223,PLoS,PLoS ONE,Associatio,£1015.73,,,,,
PMC35470,PLoS,PLoS ONE,"""Involve",£1023.41,,,,,
3573029,PLoS,PLoS ONE,Reactive,£1039.87,,,,,
3769269,PLoS,PLoS ONE,Chronic pr,£1061.24,,,,,
3782430,PLoS,PLoS ONE,Expressio,£1061.24,,,,,
3797097,PLoS,PLoS ONE,Molecular,£1061.24,,,,,
3675909,PLoS,PLoS ONE,Anti-Müll,£1080.00,,,,,
PMC35661,PLOS,PLoS ONE,A Method,£794.93,,,,,
PMC36949,PLoS,PLoS ONE,On the importance of countergradients for the development of retinotopy: Insights from a generalised,£809.29,,,,,
,,,Insights from a generalised,,,,,,
PMC37296,PLOS,PLoS ONE,Telomeric,£819.34,,,,,
PMC37747,PLoS,PLoS One,The effect,£854.96,,,,,
3620162,PLoS,PLoS ONE,Modificati,£901.50,,,,,
PMC36941,PLOS,PLOS One,Regulatio,£902.12,,,,,
3669132,Plos,Plos One,Localised JAK/STAT pathway activation is required for Drosophila wing hinge,£903.89,,,,,
,,,development,,,,,,
PMC35975,PLOS,PLOS Path,Th2 Cell-i,£1343.73,,,,,
PMC37986,PLOS,PLOS Path,Independ,£1438.45,,,,,
PMCID:P,PLoS (Pub,PLOS Gen,Trans-anc,£1774.83,,,,,
PMCID:P,PLoS (Pub,PLOS ONE,Automate,£1061.93,,,,,
PMCID: P,PLoS (Pub,PLoS ONE,Prolonge,£389.73,,,,,
PMCID:P,PLoS (Pub,PLoS One,Genetics,£443.38,,,,,
PMC35272,PLoS Publ,PLoS Gen,Genes co,£1676.06,,,,,
23184970,PNAS,National,Direct thr,£1459.12,,,,,
PMC35290,PNAS,PNAS,How natur,£734.00,,,,,
2294692,PNAS,PNAS,Shaping a,£999999.00,,,,,
PMC36126,PNAS,PNAS USA,Cannabin,£651.58,,,,,
3396515,PNAS,Proceedin,Multistep,£206.32,,,,,
23341602,PNAS,Proceedin,Specular r,£663.30,,,,,
PMC34915,PNAS,Proceedin,Cyclooxyg,£809.62,,,,,
PMC30934,PNAS Aut,Proc Natl,Crystal str,£731.77,,,,,
PMC36069,PNAS Aut,Proceedin,Dimerizat,£779.69,,,,,
NA,Policy Pre,Journal of,Subjective wellbeing: a primer for poverty analysts ,£1800.00,,,,,
NA,Portland,ASN Neur,Astrocyte,£1453.42,,,,,
3685266,Portland,Biochemi,The dyna,£1800.00,,,,,
PMID: 203,Portland,Biochemi,Three dim,£1800.00,,,,,
PMID: 230,Portland,Biochemi,Activation,£1800.00,,,,,
PMC35830,Portland,Biochemi,Structure,£2050.00,,,,,
PMC35261,Portland,Biochemi,Generatio,£1800.00,,,,,
PMID: 236,Portland,Biochemi,CHD4 in t,£2100.00,,,,,
PMID: 233,Portland,Biochemi,End-resec,£900.00,,,,,
PMID:229,Portland,Essays in,Cells wars,£270.00,,,,,
PMC3631100,Portland,The Bioch,Inhibition,£1800.00,,,,,
,,,,,,,,,
PMID: 232,Portland,The Bioch,Subtype-s,£1800.00,,,,,
PMC36853,PORTLAN,BIOCHEM,ZF-CXXC D,£1800.00,,,,,
PMCID: P,Portland,Biochemi,The P-bod,£1800.00,,,,,
PMCID: P,Portland,Biochemi,Characteri,£1800.00,,,,,
PMCID: P,Portland,Biochemi,Human ca,£1800.00,,,,,
PMCID: P,Portland,Biochemi,Ube2W co,£1800.00,,,,,
PMCID: P,Portland,Biochemi,Characteri,£2100.00,,,,,
PMCID: P,Portland,Biochemi,The AMPK,£2100.00,,,,,
PMCID:P,Portland,Biochemi,CFTR mut,£2100.00,,,,,
NA,Portland,Biochemi,The prote,£2100.00,,,,,
 PMCID:,Portland,Biochemi,Novel fun,£1800.00,,,,,
    PMC3554041,,,,,,,,,
,,,,,,,,,
PMCID: P,Portland,Bioscienc,Genetic a,£834.00,,,,,
PMC35382,Proceedin,National,Direction,£2418.25,,,,,
PMCID: P,Proceedin,Proceedin,The impac,£831.09,,,,,
PMC3457933,Public Lib,Biology,Independ,£1836.91,,,,,
,,,,,,,,,
PMC35729,Public Lib,Computat,Multi-pop,£1679.71,,,,,
PMC 3413,Public Lib,Neglecte,Refining t,£3600.00,,,,,
PMC 3435,Public Lib,Neglecte,A long ne,£3600.00,,,,,
23239765,Public Lib,PLOS,Understa,£1003.60,,,,,
24147036,Public Lib,Plos,The Role,£1018.00,,,,,
23844111,Public Lib,PLOS,Human an,£1060.00,,,,,
23527131,Public Lib,PLoS,Genetic Tr,£1067.40,,,,,
NA,Public Lib,PLOS  Co,Dread and,£1417.50,,,,,
NA,Public Lib,PLOS  ONE,In-cell N,£850.50,,,,,
NA,Public Lib,PLoS 1,Cloned de,£1002.14,,,,,
NA,Public Lib,PLoS 1,Protein in,£1003.77,,,,,
NA,Public Lib,PLoS 1,Sleep-wa,£1011.80,,,,,
NA,Public Lib,PLoS 1,Time to pr,£1021.09,,,,,
NA,Public Lib,PLoS 1,Re-axpess,£1035.52,,,,,
NA,Public Lib,PLoS 1,Localisati,£1065.90,,,,,
NA,Public Lib,PLoS 1,Cytosolic,£1073.27,,,,,
PMC3720247,Public Lib,PLoS Biol,Anthranil,£1429.98,,,,,
,,,,,,,,,
23049479,Public Lib,PLoS Biol,Radar trac,£343.51,,,,,
NA,Public Lib,PLoS Com,The Conv,£1445.74,,,,,
PMC3610625,Public Lib,PLoS Com,Outlier Re,£1461.82,,,,,
,,,,,,,,,
PMCID: 36,Public Lib,PLOS CO,FORMATI,£1476.43,,,,,
PMCID: 36,Public Lib,PLOS CO,REDUCED,£1476.43,,,,,
PMCID:,Public Lib,PLoS Com,Quantific,£1658.18,,,,,
    PMC3048377,,,,,,,,,
PMCID:,Public Lib,PLoS Com,Why don't,£1685.62,,,,,
    PMC3182865,,,,,,,,,
PMC36106,Public Lib,PLoS Com,Systems,£1783.84,,,,,
PMCID:    PMC3531293,Public Lib,PLoS Com,Phylodyn,£999999.00,,,,,
PMC35217,Public Lib,PLOS Gen,A genome,£1394.05,,,,,
PMC38367,Public Lib,PLoS Gen,Pathways-,£1418.13,,,,,
PMC36885,Public Lib,PLoS Gen,Horizonta,£1431.21,,,,,
PMC38143,Public Lib,PLoS Gen,Transcript,£1447.48,,,,,
PMCID: P,Public Lib,PLoS Gen,Combinat,£1456.19,,,,,
PMCID: P,Public Lib,PLoS Gen,FGF Signal,£1456.19,,,,,
PMCID: P,Public Lib,PLoS Gen,The amid,£1525.00,,,,,
PMC35610,Public Lib,PLOS Gen,Unlocking,£1682.94,,,,,
23341772,Public Lib,PLOS Gen,E Coli Fis,£1710.40,,,,,
PMC34642,Public Lib,PLoS Gen,Cofilin-1:,£1715.06,,,,,
PMCID: P,Public Lib,PLoS Gen,H4K20me,£1721.72,,,,,
PMC36626,Public Lib,PLOS Gen,Imputatio,£1737.68,,,,,
23818873,Public Lib,PLOS Gen,H-NS can f,£1759.38,,,,,
PMC36361,Public Lib,PLoS Gen,The tissue,£1773.10,,,,,
PMC37235,Public Lib,PLoS GEN,Recombin,£1788.41,,,,,
PMC36499,Public Lib,PLoS Gen,Loss of Ex,£1807.60,,,,,
PMC36816,Public Lib,PLoS Gen,Causes an,£1807.60,,,,,
24039607/,Public Lib,PLOS Gen,Transmiss,£1809.51,,,,,
PMC35272,Public Lib,PLoS Gen,Population genomics of the Wolbachia endosymbiont in Drosophila,£999999.00,,,,,
,,,melanogaster,,,,,,
NA,Public Lib,PLoS Gen,PNUTS/PP,£999999.00,,,,,
PMC3246446,Public Lib,PLoS Med,Risk of vio,£1110.04,,,,,
PMC 3496,Public Lib,PLoS Med,G6PD defi,£1814.92,,,,,
PMC36217,Public Lib,PLoS Med,Herpes zo,£1889.00,,,,,
PMC36790,Public Lib,PLoS Med,Associatio,£327.72,,,,,
PMC36924,Public Lib,PLoS Med,The Role,£957.04,,,,,
PMCID:,Public Lib,PLoS Neg,The Cost,£1570.87,,,,,
    PMC3777881,,,,,,,,,
PMC34869,Public Lib,PLoS Negl,Toxocara,£1384.96,,,,,
PMC31251,Public Lib,PLoS Negl,Evidence,£1395.00,,,,,
PMC35273,Public Lib,PLoS Negl,Post-oper,£1402.74,,,,,
PMC35088,Public Lib,PLoS Negl,Body mas,£1403.01,,,,,
PMC3554572,Public Lib,PLoS Negl,The use of bivariate spatial modeling of questionnaire and parasitology data,£1404.41,,,,,
,,,to predict the distribu,,,,,,
PMCID: P,Public Lib,PLoS Negl,A static-ci,£1427.03,,,,,
PMC 3435,Public Lib,PLoS Negl,A long ne,£1446.13,,,,,
PMC36106,Public Lib,PLOS Negl,A Wolbac,£1456.09,,,,,
PMC37778,Public Lib,PLoS Negl,Temepho,£1489.67,,,,,
PMC35974,Public Lib,PLoS Negl,Conjuncti,£1507.23,,,,,
PMCID: P,Public Lib,PLoS Negl,Proteomi,£1525.00,,,,,
PMCID:,Public Lib,PLoS Negl,Arginase,£1561.30,,,,,
    PMC3610885,,,,,,,,,
PMCID:,Public Lib,PLoS Negl,Uncertain,£1600.25,,,,,
    PMC3636241,,,,,,,,,
PMCID:,Public Lib,PLoS Negl,Arginase,£1661.04,,,,,
    PMC3547864,,,,,,,,,
23326615,Public Lib,PLoS Negl,Evaluatio,£1685.39,,,,,
PMC 3413,Public Lib,PLoS Negl,Refining t,£1750.01,,,,,
PMC36052,Public Lib,PLoS Negl,A cell-surf,£1772.81,,,,,
3772069,Public Lib,PLOS Negl,Sex-biase,£1773.69,,,,,
PMC37720,Public Lib,PLoS Negl,The functi,£1781.11,,,,,
23166848,Public Lib,PLoS Negl,Direct int,£1843.51,,,,,
PMC34432,Public Lib,PLoS One,Meta-anal,£1002.86,,,,,
PMC35572,Public Lib,PLoS ONE,Insights in,£1005.86,,,,,
PMCID: P,Public Lib,PLoS One,Differential localization of the two T.,£1005.96,,,,,
,,,brucei Poly(A) binding proteins to the,,,,,,
,,,nucleus and RNP granules suggests,,,,,,
,,,binding to distinct mRNA pools,,,,,,
PMCID: P,Public Lib,PLoS One,Atypical i,£1008.97,,,,,
 PMCID: P,Public Lib,Plos ONE,A heat-sh,£1009.98,,,,,
PMCID:,Public Lib,PLoS One,High prev,£1010.80,,,,,
    PMC3532161,,,,,,,,,
PMC34748,Public Lib,PLoS One,Functiona,£1013.03,,,,,
PMC35090,Public Lib,PLoS One,The dysle,£1019.76,,,,,
23285115,Public Lib,PLOS ONE,G6f-like is,£1027.73,,,,,
PMID2325,Public Lib,PLoS One,Functiona,£1034.95,,,,,
PMC37693,Public Lib,PLoS ONE,The contri,£1036.38,,,,,
PMC35101,Public Lib,PLoS ONE,Cloning a,£1036.78,,,,,
PMC37855,Public Lib,PLoS ONE,Extraocul,£1040.21,,,,,
PMID:236,Public Lib,PLOS One,Mechanis,£1040.70,,,,,
PMC34342,Public Lib,PLoS One,Candidate,£1040.75,,,,,
PMCID:,Public Lib,Plos One,Transcript,£1040.87,,,,,
    PMC3655068,,,,,,,,,
PMCID: P,Public Lib,PLoS One,Identifica,£1041.66,,,,,
23840430 :,Public Lib,PLoS One,CD38 Stru,£1044.35,,,,,
PMCID: P,Public Lib,PLoS One,Ketamine,£1044.55,,,,,
23613963,Public Lib,PLOS One,AMIGO3 i,£1044.73,,,,,
PMC36694,Public Lib,PLoS ONE,REXO2 is a,£1044.74,,,,,
PMCID: P,Public Lib,PLoS One,The N-ter,£1046.74,,,,,
PMCID: P,Public Lib,PLoS One,Investigat,£1047.02,,,,,
PMCID:,Public Lib,PLoS One,Anticipati,£1047.25,,,,,
    PMC3567063,,,,,,,,,
PMCID:,Public Lib,PLoS One,Vaccinati,£1047.25,,,,,
    PMC3784449,,,,,,,,,
PMCID:ID,Public Lib,PLOS ONE,Within-ho,£1048.79,,,,,
PMC36467,Public Lib,PLoS ONE,Raised Int,£1056.24,,,,,
PMC36470,Public Lib,PLoS One,Growth ki,£1057.92,,,,,
23505454,Public Lib,Plos One,Pyrimidin,£1060.00,,,,,
PMC36109,Public Lib,PLoS One,Site Speci,£1060.06,,,,,
PMCID: P,Public Lib,PLoS One,A bead ag,£1063.55,,,,,
PMC36098,Public Lib,PLoS One,The role o,£1063.69,,,,,
PMID: 240,Public Lib,PLoS One,Are bisph,£1063.69,,,,,
PMC36961,Public Lib,PLoS One,A prospec,£1064.04,,,,,
PMC37010,Public Lib,PLoS One,Parents' a,£1064.04,,,,,
3759422,Public Lib,PLoS One,Thyrotrop,£1064.22,,,,,
PMC36400,Public Lib,PLoS One,The AgI/II,£1065.58,,,,,
PMC35851,Public Lib,PLoS One,Stimulati,£1068.11,,,,,
PMCID:,Public Lib,PLOS ONE,LC-MS/MS,£1068.12,,,,,
    PMC3711559,,,,,,,,,
PMCID:,Public Lib,PLoS One,The poten,£1068.12,,,,,
    PMC3726763,,,,,,,,,
    PMC3576415,Public Lib,PLoS One,The prese,£1068.19,,,,,
PMC36803,Public Lib,PLoS ONE,Pentrose,£1068.23,,,,,
PMC36559,Public Lib,PLoS One,Imputatio,£1072.85,,,,,
PMC35928,Public Lib,PLoS One,Solution s,£1072.92,,,,,
23922795,Public Lib,PLOS One,Hinged Pl,£1075.98,,,,,
PMCID: P,Public Lib,PLoS One,An activat,£1076.94,,,,,
23451279,Public Lib,Plos ONE,Caspase-2 Is Upregulated after Sciatic Nerve Transection,£1079.64,,,,,
,,,and Its Inhibition Protects Dorsal Root Ganglion Neurons,,,,,,
,,,from Apoptosis after Serum Withdrawal,,,,,,
23805333,Public Lib,PLOS One,Regulator,£1085.61,,,,,
PMCID: P,Public Lib,PLoS ONE,Global qu,£1331.13,,,,,
23967111,Public Lib,PLoS One,Genetic i,£1395.78,,,,,
PMCID: P,Public Lib,PLoS One,Genome-wide association studies reveal a simple genetic basis of resistance to naturally coevolving viruses in Drosophila melanogaster,£1541.48,,,,,
23991236,Public Lib,Plos one,In vivo im,£1692.00,,,,,
23853603,Public Lib,Plos One,Mosaic VS,£1745.00,,,,,
PMCID: P,Public Lib,PLoS One,Duplicatio,£1775.50,,,,,
PMCID: P,Public Lib,PLoS One,Functiona,£1785.36,,,,,
3543450,Public Lib,PLoS One,How  well,£122.31,,,,,
3547931,Public Lib,PLoS One,Reducing,£192645.00,,,,,
PMCID: P,Public Lib,PLoS One,Neighbou,£214.74,,,,,
PMC37120,Public Lib,PLoS One,Socioecon,£329.79,,,,,
PMCID:,Public Lib,PLoS ONE,Superanti,£424.95,,,,,
    PMC3462185,,,,,,,,,
PMCID:,Public Lib,PLoS ONE,Towards C,£534.26,,,,,
    PMC3701544,,,,,,,,,
PMCID: P,Public Lib,PLoS One,Determin,£741.35,,,,,
PMID: 233,Public Lib,PLoS One,Health Im,£747.05,,,,,
PMC35488,Public Lib,PLoS ONE,Mast cells,£773.45,,,,,
3480384,Public Lib,PLoS One,A cost eff,£825.68,,,,,
3525566,Public Lib,PLoS One,Costs and,£825.68,,,,,
3530465,Public Lib,PLoS One,The Incid,£825.68,,,,,
3530478,Public Lib,PLoS One,Lack of Av,£825.68,,,,,
3531328,Public Lib,PLoS One,A Statistic,£825.68,,,,,
3544761,Public Lib,PLoS One,Understa,£825.68,,,,,
3555827,Public Lib,PLoS One,Comparis,£825.68,,,,,
3569446,Public Lib,PLoS One,"""The word",£825.68,,,,,
3577721,Public Lib,PLoS One,The ratio,£825.68,,,,,
3637378,Public Lib,PLoS One,Childhoo,£825.68,,,,,
3646760,Public Lib,PLoS One,Malaria C,£825.68,,,,,
3691111,Public Lib,PLoS One,Assessme,£825.68,,,,,
Pending,Public Lib,PLoS One,Exclusive,£825.68,,,,,
PMC 3474,Public Lib,PLoS One,Hyperten,£825.68,,,,,
PMC 3532,Public Lib,PLoS One,Cell-Free,£825.68,,,,,
PMC37202,Public Lib,PLoS One,Spatial clu,£825.68,,,,,
PMC37491,Public Lib,PLoS One,High-leve,£825.68,,,,,
PMC37970,Public Lib,PLoS One,Decrease,£825.68,,,,,
NA,Public Lib,PLoS One,Exclusive,£825.68,,,,,
PMID: 233,Public Lib,PLoS One,Host resp,£830.05,,,,,
PMC34718,Public Lib,PLoS ONE,Determini,£830.97,,,,,
PMC34896,Public Lib,PloS ONE,Spatiote,£836.02,,,,,
: PMC3487,Public Lib,PLoS One,Fibrillin-1,£836.43,,,,,
PMC35274,Public Lib,PLOS One,The ETS tr,£836.43,,,,,
PMC35196,Public Lib,PLoS One,Retinal ar,£841.65,,,,,
PMC3547960,Public Lib,PLoS One,Associatio,£841.65,,,,,
PMC37692,Public Lib,PLOS ONE,Circulatin,£842.17,,,,,
PMC38239,Public Lib,PLoS ONE,Changing,£843.72,,,,,
PMID:233,Public Lib,PLoS ONE,Early diffe,£843.78,,,,,
PMC35198,Public Lib,PLoS One,Long-live,£844.52,,,,,
PMCID:,Public Lib,PLoS ONE,Upper Airways Microbiota in Antibiotic-NaÃ¯ve Wheezing and Healthy Infants from the Tropics of Rural Ecuador,£846.32,,,,,
    PMC3465279,,,,,,,,,
PMC35648,Public Lib,PLoS One,Generalis,£847.73,,,,,
20975956,Public Lib,PLoS One,IFN-alpha,£850.00,,,,,
NA,Public Lib,PLOS ONE,Alteration,£850.50,,,,,
PMC35721,Public Lib,PLoS One,Prevalent,£852.43,,,,,
PMC35195,Public Lib,PLoS ONE,Using Ans,£852.53,,,,,
PMC35488,Public Lib,PLoS ONE,Grafting o,£852.95,,,,,
24124519/,Public Lib,PLOS One,Neuron-t,£854.43,,,,,
PMC34851,Public Lib,PloS ONE,Forgettin,£855.40,,,,,
PMC35014,Public Lib,PLoS ONE,Stimulati,£855.40,,,,,
PMC35209,Public Lib,PLoS ONE,Degenera,£855.40,,,,,
PMC3691227,Public Lib,PLoS ONE,Quality C,£858.15,,,,,
,,,,,,,,,
PMC3700857,Public Lib,PLoS ONE,Assaying t,£860.51,,,,,
,,,,,,,,,
PMC35273,Public Lib,PLoS ONE,Modelling,£861.35,,,,,
PMC35528,Public Lib,PLoS ONE,The durati,£861.35,,,,,
PMC3572111,Public Lib,PLoS ONE,There is n,£861.35,,,,,
,,,,,,,,,
PMC38045,Public Lib,PLoS One,Associatio,£863.78,,,,,
PMC3676342,Public Lib,PLoS One,Binge drin,£867.30,,,,,
,,,,,,,,,
3788105,Public Lib,PLoS One,Mutations,£867.72,,,,,
not yet pu,Public Lib,PLoS ONE,The relati,£870.13,,,,,
PMC3720622,Public Lib,PLoS ONE,Dopamin,£870.13,,,,,
,,,,,,,,,
PMC3742662,Public Lib,PLoS ONE,Fine-map,£870.13,,,,,
,,,,,,,,,
PMC3613341,Public Lib,PLOS ONE,What doe,£871.45,,,,,
,,,,,,,,,
PMC3607553,Public Lib,PLoS ONE,Subjectiv,£874.61,,,,,
,,,,,,,,,
PMC36216,Public Lib,PLoS ONE,Reduced,£874.61,,,,,
PMC3584022,Public Lib,PLoS ONE,Condition,£877.09,,,,,
,,,,,,,,,
PMC36569,Public Lib,PLoS ONE,Using Hig,£877.09,,,,,
PMID2297,Public Lib,PLoS One,Trp RNA-b,£878.44,,,,,
PMCID: P,Public Lib,PLoS ONE,Analysis o,£878.72,,,,,
PMC3561448,Public Lib,PLoS ONE,Primed In,£879.33,,,,,
PMC3708033,Public Lib,PLoS One,Efficient P,£879.33,,,,,
,,,,,,,,,
PMC35840,Public Lib,PLoS ONE,Corneal e,£884.32,,,,,
23840536,Public Lib,PLoS One,A Bovine,£886.18,,,,,
3606182,Public Lib,PLOS One,The Assoc,£886.23,,,,,
3608660,Public Lib,PLOS One,A Molecul,£886.23,,,,,
Pending P,Public Lib,PLOS One,Are Ethnic,£886.30,,,,,
PMCID: P,Public Lib,PLoS ONE,Generatio,£886.76,,,,,
PMID: 238,Public Lib,PLoS One,Cost Effec,£886.95,,,,,
PMID: 239,Public Lib,PLoS One,Requirem,£886.95,,,,,
PMCID:     PMC3677912,Public Lib,PLoS One,A Modifie,£887.31,,,,,
3574120,Public Lib,PLoS One,Use of a,£889.97,,,,,
PMC37064,Public Lib,PLoS One,Blood neu,£891.74,,,,,
PMC36121,Public Lib,PLoS One,Early War,£892.12,,,,,
PMC3706617,Public Lib,PLoS ONE,Dissociati,£893.43,,,,,
,,,,,,,,,
PMC3581475,Public Lib,PLOS ONE,Cellular ta,£894.71,,,,,
,,,,,,,,,
PMCID: P,Public Lib,PLoS One,Resistanc,£896.32,,,,,
PMCID:,Public Lib,PLoS ONE,CHARACT,£896.96,,,,,
